Incident name,Brief description of the incident,What is the motive? Why is the state cracking down? (if known),Country where incident took place,Date of incident,Year of incident
"The Facebook Papers reveal that the company did not take the necessary measures to protect young people, prevent the spread of disinformation, and stop surveillance of Uyghurs on the platform.","The Facebook Papers refer to a set of internal documents that were provided to Congress by whistleblower Frances Haugen's legal counsel. Haugen used to work as a product manager for Facebook. Then, she decided to testify and reveal what she knew about how the company posed a risk to vulnerable people and democracy.

Here is what the Facebook Papers reveal:
- Facebook's administration knew that Facebook and Instagram were affecting young people's mental health severely, but they did not take any measures to change this situation, eliminate the risks, and improve the platform's algorithms accordingly.
- Facebook administration's negligence of disinformation and conspiracy theories on its platforms played a major role in the organization of insurrection at the U.S. Capitol on January 6, 2021. A Facebook employee took responsibility by posting the following message to the internal board of the company: ""We've been fueling this fire for a long time, and we shouldn't be surprised it's now out of control."" 
- Facebook administration was well-aware of the fact that the Chinese government was surveilling Uyghurs, a Turkic-Muslim minority group mostly known for the cultural genocide they face. However, the administration ignored state surveillance for the sake of the company's profit in the Asian markets.
- Despite being one of the leading social media companies in the world, Facebook did not hire enough experts who could speak different languages and have expertise in different regions of the world. Therefore, the company failed to follow and remove hateful content in many languages, such as Arabic. 

The Facebook Papers, as an incident, is included in this project to point out a broader picture of how big tech companies and private actors jeopardize human rights and democracy, pose a risk of exacerbating digital authoritarianism, and facilitate state-led surveillance. From the insurrection in the U.S. Capitol to the surveillance of Uyghurs, the Facebook Papers reveal that big tech companies pose a risk to people in democracies and non-democracies. To that end, this incident includes items about technology firms from around the world that facilitate digital authoritarian practices in different countries.","This scandal is about a company, not a state. According to whistleblower Haugen, Facebook's main motive was to profit more from platform users by neglecting the violation of platform rules or the potential harm that Facebook content caused people. 
At this point, it is important to discuss Facebook's business model, which relies heavily on profit-making through advertisements. Just in July 2022, Facebook had [nearly 3 billion active users monthly](http://Facebook had 2.934 billion monthly active users in July 2022,(a) placing it 1st in our ranking of the world’s most ‘active’ social media platforms.), making the platform the most popular social media site in the world. Therefore, advertising on Facebook is advantageous for business companies aiming to reach a global audience. To keep its number of users high, Facebook does not frequently remove users who share harmful content, does not easily take down content, or in a general sense, does not interfere with the platform often. This is the main reason why Facebook's business model is problematic and harms its users.",United States,1 September 2021,2021
"The Facebook Papers reveal that the company did not take the necessary measures to protect young people, prevent the spread of disinformation, and stop surveillance of Uyghurs on the platform.","The Facebook Papers refer to a set of internal documents that were provided to Congress by whistleblower Frances Haugen's legal counsel. Haugen used to work as a product manager for Facebook. Then, she decided to testify and reveal what she knew about how the company posed a risk to vulnerable people and democracy.

Here is what the Facebook Papers reveal:
- Facebook's administration knew that Facebook and Instagram were affecting young people's mental health severely, but they did not take any measures to change this situation, eliminate the risks, and improve the platform's algorithms accordingly.
- Facebook administration's negligence of disinformation and conspiracy theories on its platforms played a major role in the organization of insurrection at the U.S. Capitol on January 6, 2021. A Facebook employee took responsibility by posting the following message to the internal board of the company: ""We've been fueling this fire for a long time, and we shouldn't be surprised it's now out of control."" 
- Facebook administration was well-aware of the fact that the Chinese government was surveilling Uyghurs, a Turkic-Muslim minority group mostly known for the cultural genocide they face. However, the administration ignored state surveillance for the sake of the company's profit in the Asian markets.
- Despite being one of the leading social media companies in the world, Facebook did not hire enough experts who could speak different languages and have expertise in different regions of the world. Therefore, the company failed to follow and remove hateful content in many languages, such as Arabic. 

The Facebook Papers, as an incident, is included in this project to point out a broader picture of how big tech companies and private actors jeopardize human rights and democracy, pose a risk of exacerbating digital authoritarianism, and facilitate state-led surveillance. From the insurrection in the U.S. Capitol to the surveillance of Uyghurs, the Facebook Papers reveal that big tech companies pose a risk to people in democracies and non-democracies. To that end, this incident includes items about technology firms from around the world that facilitate digital authoritarian practices in different countries.","This scandal is about a company, not a state. According to whistleblower Haugen, Facebook's main motive was to profit more from platform users by neglecting the violation of platform rules or the potential harm that Facebook content caused people. 
At this point, it is important to discuss Facebook's business model, which relies heavily on profit-making through advertisements. Just in July 2022, Facebook had [nearly 3 billion active users monthly](http://Facebook had 2.934 billion monthly active users in July 2022,(a) placing it 1st in our ranking of the world’s most ‘active’ social media platforms.), making the platform the most popular social media site in the world. Therefore, advertising on Facebook is advantageous for business companies aiming to reach a global audience. To keep its number of users high, Facebook does not frequently remove users who share harmful content, does not easily take down content, or in a general sense, does not interfere with the platform often. This is the main reason why Facebook's business model is problematic and harms its users.",China,1 September 2021,2021
Venezuelan regional elections spark rise of website and digital media blocks,"During the regional elections (where mayors, governors and community leaders are chosen) in November 2021, VE Sin Filtro (an NGO that has been documenting censorship and web blocking since 2014) determined that over 56 key web domains relevant to the election were blocked during the month of November, which prevented users from accessing information, as traditional media outlets have disappeared or are subject to censorship.
Between January and December 2021, VE Sin Filtro found that 59 websites corresponding to at least 68 domains were blocked. Forty-five of these were media sites; eight belonged to portals that offer political content; four had been designed to share multimedia content; three are run by human rights organizations, six had adult content, and two were VPN (Virtual Private Network) platforms used to avoid censorship.
This incident is an example of censorship and internet restrictions, which worsen during elections or political and social crises in Venezuela. ","1. Control information and access to information during elections 
2. Limit the information shared by opposition candidates",Venezuela,1 November 2021,2021
Bukele's government threatens lawsuit against two women journalists,"The independent news media Gato Encerrado published a story that the Constitutional Chamber of the Supreme Court of Justice was ready to release a resolution that allows President Nayib Bukele the possibility of reelection. This story, published by two women journalists, Karen Moreno and Beatriz Benitez, also mentioned that Javier Argueta, legal adviser to Bukeles's government, attended a private meeting with the Magistrates of the Supreme Electoral Tribunal. After that, Javier Argueta expressed that he might present a lawsuit against these two journalists if they wouldn't reveal the source of the information that mentioned him as participating in a private meeting. The two journalists replied that the source of this information was anonymous and that they have the right of protecting the sources of information. There were local and international reactions condemning this threat, but Argueta did not proceed with any lawsuit against the two journalists of Gato Encerrado.","In this incident, there are several elements involved: first the news story is about a controversial topic, which is the possibility of Bukele's reelection. This is prohibited in the  Salvadoran Constitution, but the new Supreme Court of Justice, partially appointed by Bukele's political party, now decided that Bukele can run again for president. The other aspect is that this incident reflects a trend of public officials, including President Bukele, and Bukele's supporters carrying out online harassment, derogative comments, and threats against independent journalists, particularly women journalists. ",El Salvador,17 September 2021,2021
Turkish state grants the Turkish Football Federation the right to block websites,"In December 2021, an article added to law No. 5894 (Law on the Establishment and Duties of the Turkish Football Federation) granted the Turkish Football Federation authority to block access to broadcasts and URLs in case the federation determines the broadcasts to be illegal.  ","The motive here is rather interesting; on the one hand, while the state attempts to control the internet, and is already deploying legal measures to block URLs and other websites, it has also given the same rights to a number of other institutions. The Football Federation does not need a court order to deploy initial blocking. Independent lawyers noted that this is censorship and is unconstitutional.  ",Turkey,25 December 2021,2021
Russia claims the photos and videos of the Mariupol maternity hospital bombing are staged,"On the 9th of March, 2022, the Russian military bombed a children’s hospital in Mariupol, Ukraine. The news caused an outcry on social media and became the first major story about the alleged war crimes of the Russian government in the 2022 Ukraine invasion. The Russian government launched a global disinformation campaign to justify the attack. They claimed that the photos and videos of the independent and pro-Ukrainian media were fake; coordinated the spread of pro-Russian misinformation, and encouraged cyberstalking and cyberbullying of the protagonist and the main source of the story, as well as their friends. 
The story circled around Marianna Vyshemirskaya, a beauty blogger from Mariupol and a survivor of the hospital attack. Two Associated Press (AP) journalists (Evgeniy Maloletka and Mstyslav Chernov) took the photos and videos of her evacuating the hospital, which became viral. Pro-Russian Telegram channels quickly identified Vyshemirskaya and used her profession as proof that the photoshoot had been completely staged. In the following weeks, both Russian and western media released more videos allegedly featuring Marianna and used them as evidence in the discussion of what happened and who was responsible. 
Among the social media accounts participating in disinformation, cyberstalking, and cyberbullying, many demonstrated coordinated inauthentic behaviour and had links with the Russian government.","To discredit the allegations against the Russian military for killing civilians, especially pregnant women and children.",Russia,9 March 2022,2022
Russia claims the photos and videos of the Mariupol maternity hospital bombing are staged,"On the 9th of March, 2022, the Russian military bombed a children’s hospital in Mariupol, Ukraine. The news caused an outcry on social media and became the first major story about the alleged war crimes of the Russian government in the 2022 Ukraine invasion. The Russian government launched a global disinformation campaign to justify the attack. They claimed that the photos and videos of the independent and pro-Ukrainian media were fake; coordinated the spread of pro-Russian misinformation, and encouraged cyberstalking and cyberbullying of the protagonist and the main source of the story, as well as their friends. 
The story circled around Marianna Vyshemirskaya, a beauty blogger from Mariupol and a survivor of the hospital attack. Two Associated Press (AP) journalists (Evgeniy Maloletka and Mstyslav Chernov) took the photos and videos of her evacuating the hospital, which became viral. Pro-Russian Telegram channels quickly identified Vyshemirskaya and used her profession as proof that the photoshoot had been completely staged. In the following weeks, both Russian and western media released more videos allegedly featuring Marianna and used them as evidence in the discussion of what happened and who was responsible. 
Among the social media accounts participating in disinformation, cyberstalking, and cyberbullying, many demonstrated coordinated inauthentic behaviour and had links with the Russian government.","To discredit the allegations against the Russian military for killing civilians, especially pregnant women and children.",Ukraine,9 March 2022,2022
Russia issues first conviction for spreading 'fake news',"Pyotr Mylnikov is an admin of a Viber chat called I Live in Rubble, dedicated to the problems of his village in the Chita region. He was charged with distributing fake information about the Russian army for two messages posted in that chat. The court imposed a fine of 1m roubles ($16k), and it was the first sentence under this new article.
On March 5, shortly after the full-fledged invasion of Ukraine, Russia passed a law expanding its criminal code to penalize anyone found guilty of knowingly spreading false information about Russia's armed forces (Criminal Code, art. 207.3). In the first seven months of the war, criminal cases under this article were filed against 108 people. Some of them are influential figures such as politicians and journalists. Others are ordinary people with a small online following. These cases concern both online and offline actions, but primarily online.   
Pyotr Mylnikov was one of the first people charged under this law and the first to be sentenced. According to Mylnikov, he was found guilty of posting two documents, both allegedly created by the Russian Ministry of Defense and circulated on the internet. The first document conveyed that the bodies of those who died during the war in Ukraine would be burned. The second document revealed the plan to recruit to combat the most ideologically committed boys from the Yunarmy (the Young Army Cadets National Movement) as soon as they turned 18.","This is a measure of war censorship. To justify its actions in Ukraine, the Kremlin has created an elaborate narrative based on a web of false information. To protect this narrative, it tries to prevent any contradicting information from being disseminated.",Russia,30 May 2022,2022
Myanmar's ruling junta expands the rollout of surveillance cameras to more cities,"Since the military coup on 1 February 2021, the military regime of Myanmar, also known as the State Administrative Council (SAC), has been installing Chinese-built cameras with facial recognition in major cities across the country. ","In the name of 'security', it is believed that the junta will use these digital surveillance systems to track and crack down on dissent, activists and anti-military resistance groups. ",Myanmar,11 July 2022,2022
Ley de Comunicación en Ecuador ,"La Ley Orgánica de Comunicación fue una normativa que aprobó el gobierno de Rafael Correa y que fue utilizada para presionar y hostigar a los medios de comunicación -sobre todo- a la prensa privada. Los posteriores gobiernos a Rafael Correa han planteado una serie de cambios con el propósito de encontrar una nueva ley que garantice la libertad de prensa y expresión.

Aquí también se recogen ítems que contextualizan el comportamiento en la opinión pública en relación al manejo de contenidos, vía redes sociales. Durante el gobierno de Rafael Correa se realizaban actividades coordinadas inauténticas para posicionar contenidos oficialistas o menoscabar a sus opositores políticos. Posterior a este gobierno, el correísmo continuó esta práctica, un asunto que también ha sido reproducido por otros actores políticos —sean o no del gobierno. ","Es debido a que la ley de comunicación del correísmo fue empleada de manera punitiva para castigar y hostigar a los periodistas o medios de prensa privados, principalmente. ",Ecuador,5 December 2021,2021
Apagones de internet durante el paro indígena del octubre 2019,"En octubre del 2019 ocurrieron protestas contra el gobierno de Lenin Moreno, principalmente, del movimiento indígena ecuatoriano. La medida de fuerza se debió a la decisión del gobierno de incrementar el precio de los combustibles como parte de sus compromisos con el FMI. De acuerdo a los reportes de organizaciones internacionales como Access Now hubo registro de apagones de internet en Ecuador, durante estas protestas. La Comisión Interamericana de Derechos Humanos, en su reporte sobre estos hechos de protesta social de octubre del 2019, también lo señala —recogió denuncias de restricción: según información proporcionada por la organización NetBlocks, desde el 9 hasta el 12 de octubre, se habrían registrado cortes severos del Internet en diferentes momentos y durante varias horas, coincidiendo con los picos más altos de represión y violencia de las protestas y manifestaciones en Ecuador.","El motivo es por el aumento del precio de los combustibles, por parte del gobierno, debido a los compromisos asumidos con el Fondo Monetario Internacional. El Gobierno tomó esa decisión porque sostiene que el país atraviesa una crisis económica —se necesita fuentes de financiamiento. ",Ecuador,2 October 2019,2019
"La detención ilegal de Ola Bini, un programador y activista digital sueco en Ecuador","El 11 de abril del 2019 detuvieron a Ola Bini, el mismo día que el entonces gobierno de Lenin Moreno anunció el retiro del asilo político a Julian Assange. El gobierno de la época sostuvo que Bini era amigo de Assange, miembro de Wikileaks y estaba, además, vinculado con altos personajes del correísmo. Entonces, el gobierno dijo que Bini formaba parte de una trama conspirativa contra el régimen. No conforme con eso también lo acusaron de supuestamente vulnerar los sistemas informáticos del Estado. Han pasado tres años y la Fiscalía aún no encuentra pruebas sólidas contra Ola Bini.","El gobierno de Lenin Moreno afirmó que Bini, supuestamente, vulneró los sistemas informáticos del Estado y que se encontraba en una trama conspirativa contra el régimen. ",Ecuador,11 April 2019,2019
Civilians arrested in Myanmar for social media posts insulting the military regime,"A police second lieutenant was imprisoned for allegedly posting a photo online, depicting people stepping on images of Min Aung Hlaing, the head of the Myanmar military regime. ","The motive of the state is to suppress dissent, democracy activists, and armed resistance forces who defy Myanmar's military rule.",Myanmar,8 June 2022,2022
Internet shutdowns and restrictions by Myanmar military,"Since the coup in February 2021, the Myanmar military has shut down the internet in states and regions across Myanmar in an effort to suppress news of its brutal crackdowns on peaceful anti-coup protests and to cover up atrocities committed by the military regime. ","Myanmar's military has shut down the internet in some states/regions of the country and restricted people's access to the internet since the 1st February 2021 coup as an effort to suppress protests organized in digital space, to limit people's access to reliable news information relating to anti-coup movement and wars, and to cover up atrocities committed by the military security forces in conflict-affected regions. ",Myanmar,1 February 2021,2021
Uso de tecnología en contextos de pandemia,Los gobiernos crean dispositivos tecnológicos que pueden poner en riesgo los derechos digitales de las y los ciudadanos.,El estado toma este tipo de medidas debido a la pandemia de COVID19 que declaró la Organización Mundial de la Salud. ,Ecuador,16 March 2020,2020
Gobierno de Ecuador dictó un decreto borrador para limitar el acceso a las telecomunicaciones en junio 2022,"El 13 de junio del 2022, el movimiento indígena ecuatoriano se movilizó para exigir 10 puntos debido al alto costo de la vida. A ellos se sumaron diversos sindicatos, estudiantes, feministas, diversidades sexuales, entre otros. Cinco días después, el gobierno de Guillermo Lasso decretó un estado de excepción que incluía ""la suspensión, degradación de calidad, o limitación temporal de los servicios de telecomunicaciones"", es decir, telecomunicaciones fijas, móviles e internet. Posteriormente, de manera inmediata y tras una fuerte reacción de los periodistas en particular, emitió otro decreto para no afectar los servicios de telecomunicación. ",Se tomó esta decisión después de cinco días de protestas por parte del movimiento indígena. ,Ecuador,17 June 2022,2022
Plataformas de redes sociales desmantelan cuentas de comportamiento inauténtico promovidos por actores políticos,"Las redes sociales, como Facebook, han puesto en evidencia el comportamiento inauténtico para posicionar contenidos que promueven, sobre todo, el correísmo —aunque también actores políticos como los gobiernos de turno. El hecho ha tomado cada vez más presencia desde hace 5 años, aproximadamente. ",El Estado no está tomando acciones al respecto,Ecuador,,
China detained 897 people within the first two months of the COVID-19 pandemic for their online speech or information-sharing,"In June 2020, Chinese Human Rights Defenders (CHRD) released a report about human rights violations in China during the earliest times of COVID-19. According to the report, the Chinese government detained 897 people within the first two months of the pandemic for sharing information, their opinions, and criticism about the COVID-19 pandemic on online platforms from January 1 to March 26, 2020. Among detainees, there have been Chinese journalists, such as Chen Qiushi, Fang Bin, and Li Zehua. 

The report also indicated that the number of detainees could be higher than 897 for two reasons. First, the families of many detainees avoided sharing information because they were afraid of the Chinese government's reaction. Therefore, there could be more detainees whose information could not be identified by CHRD. Secondly, the government detained many people, who criticized the Chinese government's pandemic policies, under the pretext of mandatory quarantine. Therefore, there could be more detainees who had been forcibly held by the Chinese government.","According to the report, the Chinese authorities detained online platform users under the guise of ""spreading rumors"" about the government's COVID-19 policies, ""fabricating false information"" about the pandemic, and ""causing panic"" among Chinese citizens by misleading them through disinformation.

Along with the government's claims about the detainees, it is important to remember that the Chinese government has been detaining people because of telling the truth about the pandemic since the earliest case of COVID-19 was announced by doctors who the government also detained. Therefore, although the government detained people due to the so-called reasons mentioned above, it is evident that the government uses those reasons as an excuse to prevent people from criticizing the government online and punishing them for their anti-government attitudes.",China,10 June 2020,2020
Twitter restricts a Turkish journalist's account that is known for exposing governmental corruption,"Metin Cihan is a Turkish journalist who has long been engaged in exposing the corruption of certain government officials. On July 17, 2022, Twitter restricted his account on the grounds that the journalist had shared private information. However, none of the information shared by Cihan was private. In his tweets, Cihan exposed businesses, names, affiliations, bank account information and tenders related to the 'Canikli Files' — named after politician Nurettin Canikli — who has been involved in far-reaching corruption. 

Cihan's Twitter account was restored but the journalist has expressed concerns that it might be restricted again, given this was not the first time his account was targeted. In a video shared by Cihan on Instagram after his Twitter account was restricted, he said, in all likelihood, the restriction was caused by Canikli. His account was reported to the platform on the grounds of ""legally obtaining or giving personal data"".","In the broader context of Turkey's crackdown on media freedom and freedom of information, this incident is yet another example of how far the state is willing to go to silence independent journalism. 

More broadly, the incident shows how little contextual information Twitter has of countries like Turkey, where multiple reports on bogus grounds can, like in this case, result in Twitter accounts being restricted or withheld.

It shows how states like Turkey can easily abuse platforms like Twitter. ",Turkey,17 July 2022,2022
"Myanmar's junta-affiliated companies acquire Telenor and Ooredoo, gaining greater control over the telecom market","The Myanmar military imposed a great deal of pressure on the telecom sector, resulting in two of the private companies, Telenor (Norwegian) and Ooredoo (Qatari) leaving the country after selling their Myanmar operations. They were purchased by military-backed and affiliated companies, leading to concern that the telecom market will become fully monopolized by the junta, endangering the lives of activists, dissidents and opposition figures. The junta simultaneously enacted laws that encourage surveillance and create barriers to internet and phone access, such as mandatory IMEI registration and increased taxation of SIMs.
There are 4 telecom operators in Myanmar MPT, MyTel, Telenor and Ooredoo. MPT and MyTel are owned by military affiliates. By acquiring Telenor and Ooredoo, they will have 100% control of the telecom market.","To gain greater control of the telecom industry, to make sure that all companies are sympathetic to the junta and will abide by its requirements to allow surveillance and monitoring of dissidents using telecommunications technologies.",Myanmar,1 January 2022,2022
La compra de Hacking Team,"A través de la filtración masiva que realizó Wikileaks en el 2015, se pudo conocer que el gobierno del entonces presidente Rafael Correa compró los servicios de espionaje de la empresa italiana llamada Hacking Team. El gobierno, en ese entonces, rechazó cualquier vinculación entre el Estado y dicha empresa, esto a pesar de que la filtración de Wikileaks evidenciada la relación de Hacking Team con el entonces Servicio Nacional de Inteligencia (Senain). En el decenio correísta no se pudo conocer más detalles sobre este sistema de espionaje a opositores políticos y a líderes y lideresas sociales. 

Por otra parte, las organizaciones sociales, durante el correísmo, siempre expresaron sospechas sobre las acciones de vigilancia política. Sobre todo, cuando el gobierno de la época implementó el ECU911, un servicio integrado de seguridad y que cuenta con instalación de cámaras a nivel nacional.
Algunas organizaciones de derechos digitales han detectado que este sistema implementa biométricas, a pesar de que el Estado lo niegue. Finalmente, las sospechas y acusaciones sobre el ECU911 se reforzaron cuando un reportaje del The New York Times reveló que existía un ""sistema espejo"" entre esta entidad y los Servicios de Inteligencia Nacional. La revelación periodística ocurrió en 2019, cuando gobernaba Lenin Moreno. El expresidente dijo que era una práctica recurrente en el gobierno de Rafael Correa. ","El Estado, en ese entonces, no tomó ninguna medida. El gobierno de Rafael Correa solo negó la relación. Los gobiernos posteriores tampoco mostraron interés por conocer los alcances de la relación de Hacking Team con el estado ecuatoriano. ",Ecuador,20 January 2020,2020
"Philippines: The National Task Force to End the Local Communist Armed Conflict (NTF-ELCAC) labels journalists and activist groups as ""creations of the Communist Party of the Philippines""","The NTF-ELCAC and other government officials have been routinely labeling journalists, political dissenters and human rights as ""communists"" or ""communist sympathizers"" on their social media accounts on platforms such as Facebook and YouTube. NTF-ELCAC's former spokesperson, Lorraine Badoy, also a former communications undersecretary, continues her red-tagging via social media and SMNI, a TV network linked to a close ally of President Ferdinand Marcos Jr. 

Red-tagging poses security risks. Some of those red-tagged were subjected to surveillance, arrest and detention and were  even killed. 

Nobel Peace laureate Maria Ressa and community journalists Frenchie Mae Cumpio, Lady Ann Salem, Anne Krueger and Margarita Valle have been red-tagged. They were arrested and detained on trumped-up charges. Cumpio remains in detention while the four journalists have been released.","NTF-ELCAC and its former officials attempt to discredit and demonize journalists and human rights defenders, and justify attacks perpetrated by state security forces.",Philippines,12 May 2020,2020
Myanmar: Military shuts down the internet after February 2021 coup,"After the February 2021 coup, the military junta in Myanmar has resorted to internet shutdowns to cut out the public's access to information. They use every possible method of internet shutdowns: service-oriented shutdowns, location-based shutdowns, bandwidth throttling and other possible ways of shutdowns. ","To stem the flow of information on the internet (especially social media and messaging channels) about the military's atrocities, such as crackdowns on protestors and the plundering of villages and raping of women.
To weaken the resistance movement and pro-democracy forces, who largely rely on the internet for their mobilization and to organise protests and demonstrations.",Myanmar,2 February 2021,2021
 Internet Shutdowns in Iran in response to the Mahsa Amini protests,"Amidst protests against the killing of Mahsa Amini by the morality police, the Iranian government has cut off internet access across the country. This situation has impeded Iranians’ access to the internet and social media, making it more difficult for activists to coordinate their activities and convey information to the outside world. ",The Iranian government has blocked the internet in an attempt to quell outrage over Amini's death and prevent people from communicating and sharing information about the protests and the current situation in the country. ,Iran,16 September 2022,2022
Popular Rwandan Government Critic on YouTube sentenced to 15 years,"A popular Rwandan critic of the President Paul Kagame regime, who usually broadcasted her dissenting views via YouTube, was found guilty by a Rwandan court of inciting violence and sentenced to 15 years in prison on September 30, 2021. Yvonne Idamange Iryamugwiza, whose YouTube channel, Idamange has a following of 19.000 subscribers, was sentenced to a lengthy prison sentence after calling out, what she termed Kagame's dictatorial leadership, his use of the 1994 Hutu-Tutsi genocide as political capital and converting the genocide memorial into a tourist site. Idamange boycotted the trial in protest over the court's refusal of a live broadcast of the proceedings and was eventually sentenced in absentia. 
She was also accused of assaulting and injuring a police officer during her arrest.
The incident attracted international outrage as it reflects the Kagame regime's strong intolerance for dissenting views and freedom of expression.","The state is cracking down on voices of dissent in order to send a chilling message to like minded critics of the regime, that they face the same fate or worse. It is a calculated intimidation tactic of using the law as a weapon to crackdown on citizens who criticize the government and it is hoped that using this method will quell any prospects of a mass uprising.

When Idamange was arrested on the 15th of February, the Rwandan Police pointed out that she had exhibited behavior ""that mixes politics, criminality, and madness"" in her use of media platforms. This narrative thread runs throughout most of the regime's justification for clamping down on voices critical of the regime and is basically a psychological operation aimed at discrediting alternative voices.

It can be inferred that the government increasingly became concerned that Idamange appeared to give a voice to the voiceless citizens of Rwanda, and that her following on YouTube was growing. Such a scenario is untenable for any authoritarian regime which aims to control public sentiment and behavior. The regime seemed shaken by the prospect of a popular uprising by citizens, as her posts apparently set in motion a movement which made public the gross failures, totalitarian tendencies and inimical policies of the Kagame led government.

The government was also shaken by Idamange's public expose's of corruption, assassination of high profile figures including the death of a music star in state detention, as well as systematic torture and forced disappearances of critics of the regime through her YouTube channel. Arresting Idamange seemed the best option to thwart critical views.",Rwanda,30 September 2021,2021
Kyrgyzstan: Mass detention of critics who protested on social media against the controversial border deal with Uzbekistan,"A series of detentions occurred in Kyrgyzstan against civil society activists, ex-politicians and acting politicians between 23-27th October 2022. In total, 27 people were arrested and detained for two months before their trial, including six women, some with minor children. The critics publicly spoke against the handover of the Kempir-Abad water reservoir to Uzbekistan as a border deal agreement between the two countries through their social media channels and during the public assembly (Kurultai) organized in Özgön on October 15th. Most of the detained activists were members of the Committee to save Kempir-Abad, which was formed after the public assembly. The members of the Committee declared their intention to hold a nationwide public meeting on October 26th in the capital Bishkek on the issue of the water reservoir. The detainees are accused of alleged mass riot organization attempts after the security forces released three audio conversations between some of the organizers, allegedly about a planned power overthrow. According to the Criminal Code, the punishment can reach up to 10 years of imprisonment. The regime is watching (conducting surveillance), monitoring social media and punishing regime critics.          ","Bearing in mind the volatile political context of the country in the past (three power overthrows since independence in 1991), the incumbent regime is afraid that the Kempir-Abad water reservoir border deal can lead to mass riots and put an end to their rule. This has been exacerbated by the failure of the government to protect citizens during the violent Tajik military aggression in the Batken and Osh oblasts in September 2022. The political opposition and civic activists nationwide have managed to unite by establishing the Committee to save Kempir-Abad and could possibly become a major challenging force with major public support.",Kyrgyzstan,23 October 2022,2022
Cameroon plantation worker locked up for viral video on embezzlement of Covid-19 funds ,"A plantation worker, Clement Ytembe Bonda, is currently locked up at the Mbanga Prison in the Littoral Region of Cameroon. Bonda and two of his friends, Andre Boris Wamen and Flavy Kamou Woume recorded a video expressing their anger at the president and ministers for the embezzlement of FCFA 180 billion Covid-19 funds. They were angry as workers earning FCFA 32,000 were toiling on the plantation, only for government officials to embezzle at their expense. This criticism insulted the president and the ministers. Bonda and his friends were arrested and jailed for outrage against the head of state and the propagation of fake news on social media. Two of them were freed a year later while Clement Ytembe Bonda is still in prison. A member of parliament organized lawyers to defend the young men because according to him, there is a need to defend their rights and the general freedom of expression. ","To discourage dissenting voices, instill fear in the population, and dissuade anyone from potentially joining any dissenting groups. ",Cameroon,14 June 2021,2021
State threatens to to block Wikipedia in Russia ,"Since the start of the war in Ukraine, Wikipedia has been in the sights of Russian media authorities. Particularly, state officials are demanding the blocking of Wikipedia since Wikipedia's Russian-language articles on the war deviate from the Kremlin's official account.","Russian authorities have threatened to block Wikipedia's Russian-language site over articles that refer to the Russian invasion of Ukraine. Particularly, the Russian communications regulator, Roskomnadzor, has argued that the free online encyclopedia is ""illegally distributed information"" and was becoming a ""bridgehead for information war against Russia.""",Russia,1 March 2022,2022
"Philippine government agency blocks websites of 2 media outlets, 25 others","The National Telecommunications Commission (NTC) issued a memorandum dated June 8, 2022, ordering internet service providers in the Philippines to implement DNS blocking against 27 websites for allegedly being ""terrorist friendly."" Two of these websites are media organizations and several others are websites of NGOs critical of government policies. No due process was observed and no evidence is presented to support the claims. The NTC attached a letter from then National Security Adviser Hermogenes Esperon Jr., citing Anti-Terrorism Council (ATC) resolutions designating several organizations and individuals as terrorists. Many of the blocked websites, however, are not designated as terrorists by the ATC. ","The NTC order is just the recent form of state censorship against independent media and critical voices in the Philippines. The two media outlets, Bulatlat and Pinoy Weekly, were also subjected to cyber-attacks. The distributed denial of service attacks against Bulatlat in 2021 was traced to the Philippine Army.",Philippines,8 June 2022,2022
Kenyan Government rolls out a Device Management System capable of nationwide communications surveillance,"On various dates in January 2017, the Kenyan Government, through its Communications Authority, contracted the country's three major mobile network operators to implement the Device Management System (DMS). The action would involve installing a communication surveillance system across mobile networks that would reportedly allow unbridled access to mobile subscriber information. DMS presents a dangerous surveillance tool as it can spy on subscribers' calls and texts and review mobile money transactions. Further, this data would be available to be cross-referenced by other state agencies and would be available to third parties. 

On 19th April 2020, this was halted through a constitutional petition filed by civil society actors, which succeeded on the grounds of privacy violations and a lack of public participation. However, just a few days later, on 24th April 2020, this decision was set aside by Kenya's Court of Appeal, which permitted the implementation of DMS. 

The same civil society actors have now approached the Supreme Court to appeal the Court of Appeal's decision. However, the position remains that the implementation of DMS is permitted. ","The justification provided by the state through the Communications Authority was national security concerns, specifically, the system was to be introduced with the primary intention of curbing the use of counterfeit and illegal mobile phones in the country. 
However, the true motives of the state are better anticipated when we look at the implementation of a Device Management System (DMS) as a part of a bigger communications surveillance conspiracy by the Kenyan government. As the country has advanced in terms of internet and mobile phone connectivity, a concerning trend of communications surveillance has been observed. According to an investigative report by Privacy International, this trend features ""intercepted communications content and data are used to facilitate gross human rights abuses, to spy on, profile, locate, track — and ultimately arrest, torture, kill or disappear suspects.""
It can be said that the question of why the Kenyan government wants to surveil mobile network communication across the country, does not have a definite answer, however, considering the above trend and the authoritarian notoriety of the Kenyan government, we can anticipate that the implementation of a DMS is part of a larger web of state surveillance purposed to establish authoritarian control over the Kenyan people.   ",Kenya,24 April 2020,2020
